created_at,user_id_str,full_text,data_cleaning,case_folding,normalization,preprocessing_stats
Sun Dec 21 17:17:44 +0000 2025,3373815431,@Buackshot Kayak ada etanol etanolnya.,Kayak ada etanol etanolnya,kayak ada etanol etanolnya,kayak ada etanol etanolnya,orig:38 -> final:26
Sun Dec 21 17:04:16 +0000 2025,4389591614,@roseidusk tangki cinta bisa diisi pake etanol gx,tangki cinta bisa diisi pake etanol gx,tangki cinta bisa diisi pake etanol gx,tangki cinta bisa diisi pake etanol gx,orig:49 -> final:38
Sun Dec 21 17:00:01 +0000 2025,1496846304697528323, Bioetanol bukan cuma soal energi tapi juga: ️ Petani ️ Lahan ️ Industri gula ️ Ekonomi daerah Bagaimana dampaknya ke luar Jawa? Baca selengkapnya https://t.co/N3c4zZDxHl #EnergiDaerah #EkonomiHijau #Biofuel,Bioetanol bukan cuma soal energi tapi juga Petani Lahan Industri gula Ekonomi daerah Bagaimana dampaknya ke luar Jawa Baca selengkapnya EnergiDaerah EkonomiHijau Biofuel,bioetanol bukan cuma soal energi tapi juga petani lahan industri gula ekonomi daerah bagaimana dampaknya ke luar jawa baca selengkapnya energidaerah ekonomihijau biofuel,bioetanol bukan cuma soal energi tapi juga petani lahan industri gula ekonomi daerah bagaimana dampaknya ke luar jawa baca selengkapnya energidaerah ekonomihijau biofuel,orig:207 -> final:169
Sun Dec 21 16:48:00 +0000 2025,1212940360038531072,@hamoomindan Soon.. ( dikit lagi pemerintah yang jahat bakal keselek etanol),Soon dikit lagi pemerintah yang jahat bakal keselek etanol,soon dikit lagi pemerintah yang jahat bakal keselek etanol,soon dikit lagi pemerintah yang jahat bakal keselek etanol,orig:76 -> final:58
Sun Dec 21 16:00:01 +0000 2025,1496846304697528323, Menarik! Perusahaan otomotif global seperti Toyota disebut tertarik membangun pabrik etanol di Indonesia. Apa dampaknya bagi industri &amp; E10? Ulasan lengkap di sini https://t.co/N3c4zZE5wT #Toyota #IndustriOtomotif #Bioetanol,Menarik Perusahaan otomotif global seperti Toyota disebut tertarik membangun pabrik etanol di Indonesia Apa dampaknya bagi industri E Ulasan lengkap di sini Toyota IndustriOtomotif Bioetanol,menarik perusahaan otomotif global seperti toyota disebut tertarik membangun pabrik etanol di indonesia apa dampaknya bagi industri e ulasan lengkap di sini toyota industriotomotif bioetanol,menarik perusahaan otomotif global seperti toyota disebut tertarik membangun pabrik etanol di indonesia apa dampaknya bagi industri e ulasan lengkap di sini toyota industriotomotif bioetanol,orig:229 -> final:190
Sun Dec 21 16:00:00 +0000 2025,1496846304697528323, Fakta penting: Dari ±13 pabrik etanol di Indonesia hanya 4 5 yang aktif produksi fuel-grade etanol. Apa penyebabnya? Dan apa solusinya? Baca analisis lengkap https://t.co/N3c4zZE5wT #EnergiNasional #Bioetanol #E10Indonesia,Fakta penting Dari pabrik etanol di Indonesia hanya yang aktif produksi fuel grade etanol Apa penyebabnya Dan apa solusinya Baca analisis lengkap EnergiNasional Bioetanol E Indonesia,fakta penting dari pabrik etanol di indonesia hanya yang aktif produksi fuel grade etanol apa penyebabnya dan apa solusinya baca analisis lengkap energinasional bioetanol e indonesia,fakta penting dari pabrik etanol di indonesia hanya yang aktif produksi fuel grade etanol apa penyebabnya dan apa solusinya baca analisis lengkap energinasional bioetanol e indonesia,orig:223 -> final:182
Sun Dec 21 15:00:03 +0000 2025,1496846304697528323, Dari mana asal etanol Indonesia? Bukan hanya tebu! Feedstock potensial: ️ Molases ️ Singkong ️ Sagu ️ Jagung Kenapa sagu disebut paling murah? Simak penjelasannya https://t.co/N3c4zZE5wT #Feedstock #PertanianEnergi #Bioetanol,Dari mana asal etanol Indonesia Bukan hanya tebu Feedstock potensial Molases Singkong Sagu Jagung Kenapa sagu disebut paling murah Simak penjelasannya Feedstock PertanianEnergi Bioetanol,dari mana asal etanol indonesia bukan hanya tebu feedstock potensial molases singkong sagu jagung kenapa sagu disebut paling murah simak penjelasannya feedstock pertanianenergi bioetanol,dari mana asal etanol indonesia bukan hanya tebu feedstock potensial molases singkong sagu jagung kenapa sagu disebut paling murah simak penjelasannya feedstock pertanianenergi bioetanol,orig:226 -> final:186
Sun Dec 21 15:00:00 +0000 2025,1496846304697528323,Indonesia punya surplus molases jutaan ton setiap tahun. Jika diolah bisa jadi ratusan ribu KL bioetanol Kenapa belum optimal dimanfaatkan? Jawabannya ada di artikel ini https://t.co/N3c4zZDxHl #Molases #IndustriGula #BiofuelIndonesia,Indonesia punya surplus molases jutaan ton setiap tahun Jika diolah bisa jadi ratusan ribu KL bioetanol Kenapa belum optimal dimanfaatkan Jawabannya ada di artikel ini Molases IndustriGula BiofuelIndonesia,indonesia punya surplus molases jutaan ton setiap tahun jika diolah bisa jadi ratusan ribu kl bioetanol kenapa belum optimal dimanfaatkan jawabannya ada di artikel ini molases industrigula biofuelindonesia,indonesia punya surplus molases jutaan ton setiap tahun jika diolah bisa jadi ratusan ribu kl bioetanol kenapa belum optimal dimanfaatkan jawabannya ada di artikel ini molases industrigula biofuelindonesia,orig:234 -> final:205
Sun Dec 21 14:31:07 +0000 2025,1844901808210313216,@poconxg semua orangg bangsatt jokowi cina bangsatt prabowo obes bangsatt gibrann muka batuu asuu bahlil cuci muka pake etanol kontoll,semua orangg bangsatt jokowi cina bangsatt prabowo obes bangsatt gibrann muka batuu asuu bahlil cuci muka pake etanol kontoll,semua orangg bangsatt jokowi cina bangsatt prabowo obes bangsatt gibrann muka batuu asuu bahlil cuci muka pake etanol kontoll,semua orangg bangsatt jokowi cina bangsatt prabowo obes bangsatt gibrann muka batuu asuu bahlil cuci muka pake etanol kontoll,orig:134 -> final:125
Sun Dec 21 14:13:07 +0000 2025,1986816485768187904,@stajrlit Etanol aja 4% lebih maruk elu,Etanol aja lebih maruk elu,etanol aja lebih maruk elu,etanol aja lebih maruk elu,orig:39 -> final:26
Sun Dec 21 14:00:01 +0000 2025,1496846304697528323, Produsen etanol di Indonesia bukan cuma Pertamina. Ada PTPN pabrik gula hingga potensi investor otomotif global. Siapa saja pemain utamanya &amp; kapasitas mereka? ️ https://t.co/N3c4zZDxHl #Pertamina #PTPN #Bioetanol #IndustriEnergi,Produsen etanol di Indonesia bukan cuma Pertamina Ada PTPN pabrik gula hingga potensi investor otomotif global Siapa saja pemain utamanya kapasitas mereka Pertamina PTPN Bioetanol IndustriEnergi,produsen etanol di indonesia bukan cuma pertamina ada ptpn pabrik gula hingga potensi investor otomotif global siapa saja pemain utamanya kapasitas mereka pertamina ptpn bioetanol industrienergi,produsen etanol di indonesia bukan cuma pertamina ada ptpn pabrik gula hingga potensi investor otomotif global siapa saja pemain utamanya kapasitas mereka pertamina ptpn bioetanol industrienergi,orig:234 -> final:194
Sun Dec 21 13:00:01 +0000 2025,1496846304697528323,Tahukah kamu? 🇮🇩 Indonesia butuh ±1 4 juta KL etanol/tahun untuk E10. Saat ini produksinya masih jauh di bawah kebutuhan. Siapa saja produsen yang siap? Baca riset lengkapnya https://t.co/N3c4zZE5wT #EtanolIndonesia #Biofuel #EnergiHijau,Tahukah kamu Indonesia butuh juta KL etanol tahun untuk E Saat ini produksinya masih jauh di bawah kebutuhan Siapa saja produsen yang siap Baca riset lengkapnya EtanolIndonesia Biofuel EnergiHijau,tahukah kamu indonesia butuh juta kl etanol tahun untuk e saat ini produksinya masih jauh di bawah kebutuhan siapa saja produsen yang siap baca riset lengkapnya etanolindonesia biofuel energihijau,tahukah kamu indonesia butuh juta kl etanol tahun untuk e saat ini produksinya masih jauh di bawah kebutuhan siapa saja produsen yang siap baca riset lengkapnya etanolindonesia biofuel energihijau,orig:237 -> final:196
Sun Dec 21 12:56:57 +0000 2025,1496846304697528323,Indonesia akan wajibkan bensin E10 pada 2027. Pertanyaannya: siapa yang akan memproduksi etanolnya? Dari bahan apa? Jawaban lengkapnya ada di sini https://t.co/N3c4zZE5wT #Bioetanol #E10 #EnergiTerbarukan #TransisiEnergi,Indonesia akan wajibkan bensin E pada Pertanyaannya siapa yang akan memproduksi etanolnya Dari bahan apa Jawaban lengkapnya ada di sini Bioetanol E EnergiTerbarukan TransisiEnergi,indonesia akan wajibkan bensin e pada pertanyaannya siapa yang akan memproduksi etanolnya dari bahan apa jawaban lengkapnya ada di sini bioetanol e energiterbarukan transisienergi,indonesia akan wajibkan bensin e pada pertanyaannya siapa yang akan memproduksi etanolnya dari bahan apa jawaban lengkapnya ada di sini bioetanol e energiterbarukan transisienergi,orig:220 -> final:179
Sun Dec 21 12:49:42 +0000 2025,902307110104449024,@ArmaZulfikar @ainunnajib Lu kasih tau bos lu noh: Amrik ga mau adopsi etanol jagung soalnya efek berantainya ngerusak harga ke jalur produksi lain terutama kebutuhan primer. Sawit skg udah berkontribusi ke inflasi sementara upah standar ga naik. Yang ada lu tambah miskin meski mamam jd buzzer wkwkwk,Lu kasih tau bos lu noh Amrik ga mau adopsi etanol jagung soalnya efek berantainya ngerusak harga ke jalur produksi lain terutama kebutuhan primer Sawit skg udah berkontribusi ke inflasi sementara upah standar ga naik Yang ada lu tambah miskin meski mamam jd buzzer wkwkwk,lu kasih tau bos lu noh amrik ga mau adopsi etanol jagung soalnya efek berantainya ngerusak harga ke jalur produksi lain terutama kebutuhan primer sawit skg udah berkontribusi ke inflasi sementara upah standar ga naik yang ada lu tambah miskin meski mamam jd buzzer wkwkwk,kamu kasih tau bos kamu noh amrik tidak mau adopsi etanol jagung soalnya efek berantainya ngerusak harga ke jalur produksi lain terutama kebutuhan primer sawit skg udah berkontribusi ke inflasi sementara upah standar tidak naik yang ada kamu tambah miskin meski mamam jd buzzer wkwkwk,orig:301 -> final:284
Sun Dec 21 10:59:42 +0000 2025,1839150121109626880,@yuuuuee_ @KucengTerbanggg jdi inget titanol 'titan etanol' AHHAHAHA thx bahlul u make my day,jdi inget titanol titan etanol AHHAHAHA thx bahlul u make my day,jdi inget titanol titan etanol ahhahaha thx bahlul u make my day,jdi inget titanol titan etanol ahhahaha thx bahlul u make my day,orig:93 -> final:64
Sun Dec 21 07:47:21 +0000 2025,398798880,Kalau setelah ini BBMnya jadi etanol gapapa dengan syarat harga BBM tidak lebih mahal dari yang sudah ada... Daripada harus subsidi pengiriman ke sana...,Kalau setelah ini BBMnya jadi etanol gapapa dengan syarat harga BBM tidak lebih mahal dari yang sudah ada Daripada harus subsidi pengiriman ke sana,kalau setelah ini bbmnya jadi etanol gapapa dengan syarat harga bbm tidak lebih mahal dari yang sudah ada daripada harus subsidi pengiriman ke sana,kalau setelah ini bbmnya jadi etanol gapapa dengan syarat harga bbm tidak lebih mahal dari yang sudah ada daripada harus subsidi pengiriman ke sana,orig:153 -> final:147
Sun Dec 21 03:15:13 +0000 2025,1981165051290800134,@kucingbakekok @AdaptasiBaru AdaptasiBaru = prabwiwi monokotil sawit 3/38 plus lilbah etanol plus gibranrakagooning fufufafa 2.3 plus zokowi semngat berjuanh YNTTKTS plus sahroniboti tanjung priok blundercemen,AdaptasiBaru prabwiwi monokotil sawit plus lilbah etanol plus gibranrakagooning fufufafa plus zokowi semngat berjuanh YNTTKTS plus sahroniboti tanjung priok blundercemen,adaptasibaru prabwiwi monokotil sawit plus lilbah etanol plus gibranrakagooning fufufafa plus zokowi semngat berjuanh ynttkts plus sahroniboti tanjung priok blundercemen,adaptasibaru prabwiwi monokotil sawit plus lilbah etanol plus gibranrakagooning fufufafa plus zokowi semngat berjuanh ynttkts plus sahroniboti tanjung priok blundercemen,orig:209 -> final:169
Sun Dec 21 01:50:10 +0000 2025,1977942742123925504,@Informnts Klo jokowi presiden terbaik maka soekarno adalah presiden terburuk prabowo serta jendral orba adalah pahlawan bahlil adalah bapak etanol dunia dan gibran lebih pintar dari moh hatta.,Klo jokowi presiden terbaik maka soekarno adalah presiden terburuk prabowo serta jendral orba adalah pahlawan bahlil adalah bapak etanol dunia dan gibran lebih pintar dari moh hatta,klo jokowi presiden terbaik maka soekarno adalah presiden terburuk prabowo serta jendral orba adalah pahlawan bahlil adalah bapak etanol dunia dan gibran lebih pintar dari moh hatta,klo jokowi presiden terbaik maka soekarno adalah presiden terburuk prabowo serta jendral orba adalah pahlawan bahlil adalah bapak etanol dunia dan gibran lebih pintar dari moh hatta,orig:193 -> final:181
Sun Dec 21 00:56:44 +0000 2025,1963611322681368576,@ainunnajib sawit &gt; etanol &gt; mEnGuRaNgi iMpOr BBM &gt; mesin kendaraan rusak &gt; &gt; bahlil &gt; &gt; sawit,sawit etanol mEnGuRaNgi iMpOr BBM mesin kendaraan rusak bahlil sawit,sawit etanol mengurangi impor bbm mesin kendaraan rusak bahlil sawit,sawit etanol mengurangi impor bbm mesin kendaraan rusak bahlil sawit,orig:115 -> final:68
Sat Dec 20 17:27:02 +0000 2025,1400020148241670145,@aan__ @tirta_cipeng jerigen wadah bensin etanol,jerigen wadah bensin etanol,jerigen wadah bensin etanol,jerigen wadah bensin etanol,orig:48 -> final:27
Sat Dec 20 15:50:52 +0000 2025,1981165051290800134,@AdaptasiBaru @kucingbakekok AdaptasiBaru = prabwiwi monokotil sawit 3/38 plus lilbah etanol plus gibranrakagooning fufufafa 2.3 plus zokowi semngat berjuanh YNTTKTS plus sahroniboti tanjung priok blundercemen,AdaptasiBaru prabwiwi monokotil sawit plus lilbah etanol plus gibranrakagooning fufufafa plus zokowi semngat berjuanh YNTTKTS plus sahroniboti tanjung priok blundercemen,adaptasibaru prabwiwi monokotil sawit plus lilbah etanol plus gibranrakagooning fufufafa plus zokowi semngat berjuanh ynttkts plus sahroniboti tanjung priok blundercemen,adaptasibaru prabwiwi monokotil sawit plus lilbah etanol plus gibranrakagooning fufufafa plus zokowi semngat berjuanh ynttkts plus sahroniboti tanjung priok blundercemen,orig:209 -> final:169
Sat Dec 20 15:47:02 +0000 2025,1981165051290800134,@vamprinze Bau etanol wakkkkk ,Bau etanol wakkkkk,bau etanol wakkkkk,bau etanol wakkkkk,orig:30 -> final:18
Sat Dec 20 11:01:07 +0000 2025,1014856617441939456,Allah baik bgt ciptain manusia segini cakep n gacor bayangin kalo ga tiap hari liat bahenol alias bahlil etanol kecrot mual muntah gumoh huek cuih https://t.co/HAVk0cvfhF,Allah baik bgt ciptain manusia segini cakep n gacor bayangin kalo ga tiap hari liat bahenol alias bahlil etanol kecrot mual muntah gumoh huek cuih,allah baik bgt ciptain manusia segini cakep n gacor bayangin kalo ga tiap hari liat bahenol alias bahlil etanol kecrot mual muntah gumoh huek cuih,allah baik sangat ciptain manusia segini cakep n gacor bayangin kalo tidak tiap hari liat bahenol alias bahlil etanol kecrot mual muntah gumoh huek cuih,orig:170 -> final:152
Sat Dec 20 10:05:06 +0000 2025,1978526264664215552,@ARSIPAJA Mukalu kebanyakan konsumsi etanol,Mukalu kebanyakan konsumsi etanol,mukalu kebanyakan konsumsi etanol,mukalu kebanyakan konsumsi etanol,orig:43 -> final:33
Sat Dec 20 09:50:48 +0000 2025,1011971495864590336,@ehbuahpir Ludahin dia pake etanol,Ludahin dia pake etanol,ludahin dia pake etanol,ludahin dia pake etanol,orig:34 -> final:23
Sat Dec 20 07:43:37 +0000 2025,287406740,@FaGtng Ranger etanol banyak bacot ye,Ranger etanol banyak bacot ye,ranger etanol banyak bacot ye,ranger etanol banyak bacot ye,orig:37 -> final:29
Sat Dec 20 07:21:54 +0000 2025,1254802345612857344,Termasuk gueh gue adalah orang yang tidak benar. Sejatinya kebenaran adalah ilusi (omongannya kayak orang mabok etanol),Termasuk gueh gue adalah orang yang tidak benar Sejatinya kebenaran adalah ilusi omongannya kayak orang mabok etanol,termasuk gueh gue adalah orang yang tidak benar sejatinya kebenaran adalah ilusi omongannya kayak orang mabok etanol,termasuk gueh saya adalah orang yang tidak benar sejatinya kebenaran adalah ilusi omongannya kayak orang mabok etanol,orig:119 -> final:117
Sat Dec 20 06:47:47 +0000 2025,1759980977349373952,@FaGtng gw tambah lagi ya BAHLIL dosa lu di mata masyarakat udah gak bisa di maafkan. lu campur etanol ke bensin yang bikin kendaraan ngalamin karatan di tangki. lu bohong ke pak Prabowo soal listrik dan bahan bakar diri lokasi bencana banjir di Sumatra,gw tambah lagi ya BAHLIL dosa lu di mata masyarakat udah gak bisa di maafkan lu campur etanol ke bensin yang bikin kendaraan ngalamin karatan di tangki lu bohong ke pak Prabowo soal listrik dan bahan bakar diri lokasi bencana banjir di Sumatra,gw tambah lagi ya bahlil dosa lu di mata masyarakat udah gak bisa di maafkan lu campur etanol ke bensin yang bikin kendaraan ngalamin karatan di tangki lu bohong ke pak prabowo soal listrik dan bahan bakar diri lokasi bencana banjir di sumatra,saya tambah lagi bahlil dosa kamu di mata masyarakat udah tidak bisa di maafkan kamu campur etanol ke bensin yang bikin kendaraan ngalamin karatan di tangki kamu bohong ke pak prabowo soal listrik dan bahan bakar diri lokasi bencana banjir di sumatra,orig:253 -> final:250
Sat Dec 20 06:11:04 +0000 2025,1918157844286939136,@loveiseassy @gyuarchvie @shuafavess nih ayam saos etanol https://t.co/imvJGESjFC,nih ayam saos etanol,nih ayam saos etanol,nih ayam saos etanol,orig:81 -> final:20
Sat Dec 20 04:38:49 +0000 2025,1292308075995488256,@Piyusaja2 Lalu kelebihannya termul genk mulyono apaan ? Kerjanya hanya buat gaduh dan meresahkan di masyarakat sj Dr LPH etanol informasi hoax akan bencana kriminilisasi rakyat melindas ojol merampas tanah rakyat &amp; adat menjual pasir membantu ilegal logging nikel dsb,Lalu kelebihannya termul genk mulyono apaan Kerjanya hanya buat gaduh dan meresahkan di masyarakat sj Dr LPH etanol informasi hoax akan bencana kriminilisasi rakyat melindas ojol merampas tanah rakyat adat menjual pasir membantu ilegal logging nikel dsb,lalu kelebihannya termul genk mulyono apaan kerjanya hanya buat gaduh dan meresahkan di masyarakat sj dr lph etanol informasi hoax akan bencana kriminilisasi rakyat melindas ojol merampas tanah rakyat adat menjual pasir membantu ilegal logging nikel dsb,lalu kelebihannya termul genk mulyono apaan kerjanya hanya buat gaduh dan meresahkan di masyarakat sj dr lph etanol informasi hoax akan bencana kriminilisasi rakyat melindas ojol merampas tanah rakyat adat menjual pasir membantu ilegal logging nikel dsb,orig:272 -> final:253
Sat Dec 20 03:08:37 +0000 2025,1918157844286939136,@leanongyuu @soongyuuuuu @joshushaa kenapa bisa terbakar?? apa dia membawa etanol ke dlm lift mesir??,kenapa bisa terbakar apa dia membawa etanol ke dlm lift mesir,kenapa bisa terbakar apa dia membawa etanol ke dlm lift mesir,kenapa bisa terbakar apa dia membawa etanol ke dlm lift mesir,orig:101 -> final:61
Sat Dec 20 01:22:37 +0000 2025,1712444444103127041,@ARSIPAJA gimana kalau bahlil kita kasih hibiki campur etanol,gimana kalau bahlil kita kasih hibiki campur etanol,gimana kalau bahlil kita kasih hibiki campur etanol,gimana kalau bahlil kita kasih hibiki campur etanol,orig:61 -> final:51
Sat Dec 20 01:06:29 +0000 2025,1727048834075783168,@GreenpeaceID @prabowo Simak bagaimana hutan alam seluas Pulau Bali akan tumbang di tangan oligarki demi proyek 'ketahanan energi' semu bernama etanol. https://t.co/nuWv6z5EKS,Simak bagaimana hutan alam seluas Pulau Bali akan tumbang di tangan oligarki demi proyek ketahanan energi semu bernama etanol,simak bagaimana hutan alam seluas pulau bali akan tumbang di tangan oligarki demi proyek ketahanan energi semu bernama etanol,simak bagaimana hutan alam seluas pulau bali akan tumbang di tangan oligarki demi proyek ketahanan energi semu bernama etanol,orig:175 -> final:125
Fri Dec 19 22:26:04 +0000 2025,1598925876330045440,@edstwn_ Gas moli kapasitas produksinya 80.000kl/th dan moli juga lagi buat pabrik yang bis produksi etanol 50.000kl/th. Waktu ini sempet baca stok moli juga ada 10 5jt kl etanol siap jual,Gas moli kapasitas produksinya kl th dan moli juga lagi buat pabrik yang bis produksi etanol kl th Waktu ini sempet baca stok moli juga ada jt kl etanol siap jual,gas moli kapasitas produksinya kl th dan moli juga lagi buat pabrik yang bis produksi etanol kl th waktu ini sempet baca stok moli juga ada jt kl etanol siap jual,gas moli kapasitas produksinya kl th dan moli juga lagi buat pabrik yang bis produksi etanol kl th waktu ini sempet baca stok moli juga ada jt kl etanol siap jual,orig:188 -> final:162
Fri Dec 19 14:22:16 +0000 2025,2761317043,@bbirong_haru Kalau nekat tahun depan etanol,Kalau nekat tahun depan etanol,kalau nekat tahun depan etanol,kalau nekat tahun depan etanol,orig:44 -> final:30
Fri Dec 19 09:56:10 +0000 2025,43074696,Bencana Sumatera harusnya menjadi peringatan keras bagi @prabowo untuk hentikan proyek deforestasi terbesar di Tanah Papua. Simak bagaimana hutan alam seluas Pulau Bali akan tumbang di tangan oligarki demi proyek 'ketahanan energi' semu bernama etanol. https://t.co/lDcorEAayp https://t.co/GlRLc7kXAP,Bencana Sumatera harusnya menjadi peringatan keras bagi untuk hentikan proyek deforestasi terbesar di Tanah Papua Simak bagaimana hutan alam seluas Pulau Bali akan tumbang di tangan oligarki demi proyek ketahanan energi semu bernama etanol,bencana sumatera harusnya menjadi peringatan keras bagi untuk hentikan proyek deforestasi terbesar di tanah papua simak bagaimana hutan alam seluas pulau bali akan tumbang di tangan oligarki demi proyek ketahanan energi semu bernama etanol,bencana sumatera harusnya menjadi peringatan keras bagi untuk hentikan proyek deforestasi terbesar di tanah papua simak bagaimana hutan alam seluas pulau bali akan tumbang di tangan oligarki demi proyek ketahanan energi semu bernama etanol,orig:300 -> final:239
Fri Dec 19 08:37:53 +0000 2025,1891361390553882624,Prabowo gaspol dorong Papua tanam sawit &amp; tebu buat BBM etanol &amp; rakyat on board. Energi dari negeri sendiri bikin BBM lebih mantap rakyat kecil aman. Papua punya potensi gede tinggal kelola secara bener. Energi mandiri BBM murah hidup aman bro. https://t.co/RMLTAFstGP,Prabowo gaspol dorong Papua tanam sawit tebu buat BBM etanol rakyat on board Energi dari negeri sendiri bikin BBM lebih mantap rakyat kecil aman Papua punya potensi gede tinggal kelola secara bener Energi mandiri BBM murah hidup aman bro,prabowo gaspol dorong papua tanam sawit tebu buat bbm etanol rakyat on board energi dari negeri sendiri bikin bbm lebih mantap rakyat kecil aman papua punya potensi gede tinggal kelola secara bener energi mandiri bbm murah hidup aman bro,prabowo gaspol dorong papua tanam sawit tebu buat bbm etanol rakyat on board energi dari negeri sendiri bikin bbm lebih mantap rakyat kecil aman papua punya potensi gede tinggal kelola secara bener energi mandiri bbm murah hidup aman bro,orig:277 -> final:237
Fri Dec 19 08:27:37 +0000 2025,760702098,@kuecucur86 70% produksi diekspor 30% produksi dibagi lagi antara fmcg (migor dan kebutuhan umum) dan etanol bbm harga minyak dibeli pabrik etanol lbh tinggi ketimbang harga minyak dibeli pabrik migor dll. kekurangan stok suplai migor harga migor mahal di tanah yg penuh sawit ironi wkwk,produksi diekspor produksi dibagi lagi antara fmcg migor dan kebutuhan umum dan etanol bbm harga minyak dibeli pabrik etanol lbh tinggi ketimbang harga minyak dibeli pabrik migor dll kekurangan stok suplai migor harga migor mahal di tanah yg penuh sawit ironi wkwk,produksi diekspor produksi dibagi lagi antara fmcg migor dan kebutuhan umum dan etanol bbm harga minyak dibeli pabrik etanol lbh tinggi ketimbang harga minyak dibeli pabrik migor dll kekurangan stok suplai migor harga migor mahal di tanah yg penuh sawit ironi wkwk,produksi diekspor produksi dibagi lagi antara fmcg migor dan kebutuhan umum dan etanol bbm harga minyak dibeli pabrik etanol lbh tinggi ketimbang harga minyak dibeli pabrik migor dll kekurangan stok suplai migor harga migor mahal di tanah yang penuh sawit ironi wkwk,orig:287 -> final:266
Fri Dec 19 07:46:47 +0000 2025,1471987180968943624,Kelihatannya akal2an BB etanol untuk eksploitasi hutan untuk sawit. Para pengusaha yg pejabat itu bikin janji manis ke Prabowo. @susipudjiastuti Sumber: YouTube https://t.co/4FFoum8pOv,Kelihatannya akal an BB etanol untuk eksploitasi hutan untuk sawit Para pengusaha yg pejabat itu bikin janji manis ke Prabowo Sumber YouTube,kelihatannya akal an bb etanol untuk eksploitasi hutan untuk sawit para pengusaha yg pejabat itu bikin janji manis ke prabowo sumber youtube,kelihatannya akal an bb etanol untuk eksploitasi hutan untuk sawit para pengusaha yang pejabat itu bikin janji manis ke prabowo sumber youtube,orig:184 -> final:142
Fri Dec 19 06:56:23 +0000 2025,26963795,Bayangkan 60% saja orang Indonesia berangkat kerja atau sekolah cukup 15 menit bersepeda berjalan kaki naik transportasi umum dg nyaman? Pemerintah bakalan ga punya argumen kuat utk meningkatkan produksi CPO utk menghasilkan etanol sbg campuran BBM.,Bayangkan saja orang Indonesia berangkat kerja atau sekolah cukup menit bersepeda berjalan kaki naik transportasi umum dg nyaman Pemerintah bakalan ga punya argumen kuat utk meningkatkan produksi CPO utk menghasilkan etanol sbg campuran BBM,bayangkan saja orang indonesia berangkat kerja atau sekolah cukup menit bersepeda berjalan kaki naik transportasi umum dg nyaman pemerintah bakalan ga punya argumen kuat utk meningkatkan produksi cpo utk menghasilkan etanol sbg campuran bbm,bayangkan saja orang indonesia berangkat kerja atau sekolah cukup menit bersepeda berjalan kaki naik transportasi umum dengan nyaman pemerintah bakalan tidak punya argumen kuat untuk meningkatkan produksi cpo untuk menghasilkan etanol sbg campuran bbm,orig:249 -> final:251
Fri Dec 19 04:24:52 +0000 2025,239667488,@HumorJonTampan Hasilkan bbm etanol tp duitnya bt kalian aja rakyat semakin menderita,Hasilkan bbm etanol tp duitnya bt kalian aja rakyat semakin menderita,hasilkan bbm etanol tp duitnya bt kalian aja rakyat semakin menderita,hasilkan bbm etanol tapi duitnya bt kalian aja rakyat semakin menderita,orig:85 -> final:71
Fri Dec 19 03:30:45 +0000 2025,1300622839083495426,@taesanyako Minta etanol dubg,Minta etanol dubg,minta etanol dubg,minta etanol dubg,orig:29 -> final:17
Fri Dec 19 03:07:25 +0000 2025,717616982,si goblin etanol aja ngaku dulu hidup susah jadi supir angkot +jualan gorengan intinya susah lah hidupnya sekali di kasih enak udh gak mikirin rakyat yg susah apalagi yg dari brojol ga pernah susah wkwk,si goblin etanol aja ngaku dulu hidup susah jadi supir angkot jualan gorengan intinya susah lah hidupnya sekali di kasih enak udh gak mikirin rakyat yg susah apalagi yg dari brojol ga pernah susah wkwk,si goblin etanol aja ngaku dulu hidup susah jadi supir angkot jualan gorengan intinya susah lah hidupnya sekali di kasih enak udh gak mikirin rakyat yg susah apalagi yg dari brojol ga pernah susah wkwk,si goblin etanol aja ngaku dulu hidup susah jadi supir angkot jualan gorengan intinya susah lah hidupnya sekali di kasih enak sudah tidak mikirin rakyat yang susah apalagi yang dari brojol tidak pernah susah wkwk,orig:202 -> final:212
Fri Dec 19 03:02:07 +0000 2025,1531268381349117952,@babukucing123 @quirkymeow @tempeultra Etanol Hibiki dan asep,Etanol Hibiki dan asep,etanol hibiki dan asep,etanol hibiki dan asep,orig:61 -> final:22
Thu Dec 18 23:38:29 +0000 2025,1709749109203324928,@_riverheaven Mangkane ojo diisi etanol,Mangkane ojo diisi etanol,mangkane ojo diisi etanol,mangkane ojo diisi etanol,orig:39 -> final:25
Thu Dec 18 14:21:37 +0000 2025,1591656193201934336,Shareloc Jane mau gue cekokin etanol buset etanol bgt nih https://t.co/r0RONIZKhd,Shareloc Jane mau gue cekokin etanol buset etanol bgt nih,shareloc jane mau gue cekokin etanol buset etanol bgt nih,shareloc jane mau saya cekokin etanol buset etanol sangat nih,orig:81 -> final:61
Thu Dec 18 13:25:54 +0000 2025,757409092109414400,@Franken_blues usaha rondok mbrebet mergo saiki ono etanol barang,usaha rondok mbrebet mergo saiki ono etanol barang,usaha rondok mbrebet mergo saiki ono etanol barang,usaha rondok mbrebet mergo saiki ono etanol barang,orig:65 -> final:50
