created_at,user_id_str,full_text,cleaned,casefolded,normalized,tokens,tokens_clean,stemmed
Thu Dec 25 03:41:00 +0000 2025,1496846304697528323, Istilah gasohol mengacu pada bensin yang dicampur etanol seperti E5 E10 &amp; E20. Bukan sekadar nama ada pengaruh nyata ke performa mesin. Pelajari detailnya di sini: https://t.co/yMuKNg5eQC #Gasohol #TeknologiBBM #OtomotifIndonesia #E10,Istilah gasohol mengacu pada bensin yang dicampur etanol seperti E E E Bukan sekadar nama ada pengaruh nyata ke performa mesin Pelajari detailnya di sini Gasohol TeknologiBBM OtomotifIndonesia E,istilah gasohol mengacu pada bensin yang dicampur etanol seperti e e e bukan sekadar nama ada pengaruh nyata ke performa mesin pelajari detailnya di sini gasohol teknologibbm otomotifindonesia e,istilah gasohol mengacu pada bensin yang dicampur etanol seperti e e e bukan sekadar nama ada pengaruh nyata ke performa mesin pelajari detailnya di sini gasohol teknologibbm otomotifindonesia e,"['istilah', 'gasohol', 'mengacu', 'pada', 'bensin', 'yang', 'dicampur', 'etanol', 'seperti', 'e', 'e', 'e', 'bukan', 'sekadar', 'nama', 'ada', 'pengaruh', 'nyata', 'ke', 'performa', 'mesin', 'pelajari', 'detailnya', 'di', 'sini', 'gasohol', 'teknologibbm', 'otomotifindonesia', 'e']","['istilah', 'gasohol', 'mengacu', 'bensin', 'dicampur', 'etanol', 'nama', 'pengaruh', 'nyata', 'performa', 'mesin', 'pelajari', 'detailnya', 'gasohol', 'teknologibbm', 'otomotifindonesia']","['istilah', 'gasohol', 'acu', 'bensin', 'campur', 'etanol', 'nama', 'pengaruh', 'nyata', 'performa', 'mesin', 'ajar', 'detail', 'gasohol', 'teknologibbm', 'otomotifindonesia']"
Thu Dec 25 02:40:00 +0000 2025,1496846304697528323, Etanol bisa meningkatkan nilai oktan tapi juga punya efek pada efisiensi bahan bakar. Mana yang lebih hemat: E5 E10 atau E20? Simak pembahasan lengkapnya di artikel ini: https://t.co/yMuKNg5MGa #Oktan #EfisiensiBBM #FaktaOtomotif #E5,Etanol bisa meningkatkan nilai oktan tapi juga punya efek pada efisiensi bahan bakar Mana yang lebih hemat E E atau E Simak pembahasan lengkapnya di artikel ini Oktan EfisiensiBBM FaktaOtomotif E,etanol bisa meningkatkan nilai oktan tapi juga punya efek pada efisiensi bahan bakar mana yang lebih hemat e e atau e simak pembahasan lengkapnya di artikel ini oktan efisiensibbm faktaotomotif e,etanol bisa meningkatkan nilai oktan tapi juga punya efek pada efisiensi bahan bakar mana yang lebih hemat e e atau e simak pembahasan lengkapnya di artikel ini oktan efisiensibbm faktaotomotif e,"['etanol', 'bisa', 'meningkatkan', 'nilai', 'oktan', 'tapi', 'juga', 'punya', 'efek', 'pada', 'efisiensi', 'bahan', 'bakar', 'mana', 'yang', 'lebih', 'hemat', 'e', 'e', 'atau', 'e', 'simak', 'pembahasan', 'lengkapnya', 'di', 'artikel', 'ini', 'oktan', 'efisiensibbm', 'faktaotomotif', 'e']","['etanol', 'meningkatkan', 'nilai', 'oktan', 'efek', 'efisiensi', 'bahan', 'bakar', 'hemat', 'simak', 'pembahasan', 'lengkapnya', 'artikel', 'oktan', 'efisiensibbm', 'faktaotomotif']","['etanol', 'tingkat', 'nilai', 'oktan', 'efek', 'efisiensi', 'bahan', 'bakar', 'hemat', 'simak', 'bahas', 'lengkap', 'artikel', 'oktan', 'efisiensibbm', 'faktaotomotif']"
Thu Dec 25 02:22:05 +0000 2025,1165630403102724096,@qrivasi Pertalite campur etanol Bahlil pancen tolol,Pertalite campur etanol Bahlil pancen tolol,pertalite campur etanol bahlil pancen tolol,pertalite campur etanol bahlil pancen tolol,"['pertalite', 'campur', 'etanol', 'bahlil', 'pancen', 'tolol']","['pertalite', 'campur', 'etanol', 'bahlil', 'pancen', 'tolol']","['pertalite', 'campur', 'etanol', 'bahlil', 'pancen', 'tolol']"
Thu Dec 25 02:21:18 +0000 2025,1165630403102724096,@yaniarsim Pantun dulu.. Pertalite campur etanol Bahlil pancen tolol,Pantun dulu Pertalite campur etanol Bahlil pancen tolol,pantun dulu pertalite campur etanol bahlil pancen tolol,pantun dulu pertalite campur etanol bahlil pancen tolol,"['pantun', 'dulu', 'pertalite', 'campur', 'etanol', 'bahlil', 'pancen', 'tolol']","['pantun', 'pertalite', 'campur', 'etanol', 'bahlil', 'pancen', 'tolol']","['pantun', 'pertalite', 'campur', 'etanol', 'bahlil', 'pancen', 'tolol']"
Thu Dec 25 02:15:48 +0000 2025,1376468290227249155,Se fandom dengan jelmaan etanol,Se fandom dengan jelmaan etanol,se fandom dengan jelmaan etanol,se fandom dengan jelmaan etanol,"['se', 'fandom', 'dengan', 'jelmaan', 'etanol']","['fandom', 'jelmaan', 'etanol']","['fandom', 'jelma', 'etanol']"
Thu Dec 25 02:15:37 +0000 2025,1130823298244235264,@jianghubase Aku yakin bisa 1k lebih deh soalnya sering bgt nemu sign post bahlul hidup jok- sawit etanol biji 1 dll banyak org indo main wwm ,Aku yakin bisa k lebih deh soalnya sering bgt nemu sign post bahlul hidup jok sawit etanol biji dll banyak org indo main wwm,aku yakin bisa k lebih deh soalnya sering bgt nemu sign post bahlul hidup jok sawit etanol biji dll banyak org indo main wwm,aku yakin bisa k lebih soalnya sering sangat nemu sign post bahlul hidup jok sawit etanol biji dan lain lain banyak org indo main wwm,"['aku', 'yakin', 'bisa', 'k', 'lebih', 'soalnya', 'sering', 'sangat', 'nemu', 'sign', 'post', 'bahlul', 'hidup', 'jok', 'sawit', 'etanol', 'biji', 'dan', 'lain', 'lain', 'banyak', 'org', 'indo', 'main', 'wwm']","['nemu', 'sign', 'post', 'bahlul', 'hidup', 'jok', 'sawit', 'etanol', 'biji', 'org', 'indo', 'main', 'wwm']","['nemu', 'sign', 'post', 'bahlul', 'hidup', 'jok', 'sawit', 'etanol', 'biji', 'org', 'indo', 'main', 'wwm']"
Thu Dec 25 02:09:48 +0000 2025,1895142935840346112,@Giiselje Bahlil kontol gw sumpahin lu mati kesedak etanol,Bahlil kontol gw sumpahin lu mati kesedak etanol,bahlil kontol gw sumpahin lu mati kesedak etanol,bahlil kontol saya sumpahin kamu mati kesedak etanol,"['bahlil', 'kontol', 'saya', 'sumpahin', 'kamu', 'mati', 'kesedak', 'etanol']","['bahlil', 'kontol', 'sumpahin', 'mati', 'kesedak', 'etanol']","['bahlil', 'kontol', 'sumpahin', 'mati', 'sedak', 'etanol']"
Thu Dec 25 01:45:03 +0000 2025,1858725624409714691,@TaeYeontan7 Karungnya dibuka isinya etanol,Karungnya dibuka isinya etanol,karungnya dibuka isinya etanol,karungnya dibuka isinya etanol,"['karungnya', 'dibuka', 'isinya', 'etanol']","['karungnya', 'dibuka', 'isinya', 'etanol']","['karung', 'buka', 'isi', 'etanol']"
Thu Dec 25 00:40:00 +0000 2025,1496846304697528323, BBM campuran etanol seperti E5 E10 &amp; E20 disebut lebih ramah lingkungan karena bantu menekan emisi karbon. Tapi apakah semua kendaraan cocok? Jawabannya ada di panduan lengkap ini: https://t.co/yMuKNg5MGa #Bioetanol #EnergiTerbarukan #BBMRamahLingkungan #E10,BBM campuran etanol seperti E E E disebut lebih ramah lingkungan karena bantu menekan emisi karbon Tapi apakah semua kendaraan cocok Jawabannya ada di panduan lengkap ini Bioetanol EnergiTerbarukan BBMRamahLingkungan E,bbm campuran etanol seperti e e e disebut lebih ramah lingkungan karena bantu menekan emisi karbon tapi apakah semua kendaraan cocok jawabannya ada di panduan lengkap ini bioetanol energiterbarukan bbmramahlingkungan e,bbm campuran etanol seperti e e e disebut lebih ramah lingkungan karena bantu menekan emisi karbon tapi apakah semua kendaraan cocok jawabannya ada di panduan lengkap ini bioetanol energiterbarukan bbmramahlingkungan e,"['bbm', 'campuran', 'etanol', 'seperti', 'e', 'e', 'e', 'disebut', 'lebih', 'ramah', 'lingkungan', 'karena', 'bantu', 'menekan', 'emisi', 'karbon', 'tapi', 'apakah', 'semua', 'kendaraan', 'cocok', 'jawabannya', 'ada', 'di', 'panduan', 'lengkap', 'ini', 'bioetanol', 'energiterbarukan', 'bbmramahlingkungan', 'e']","['bbm', 'campuran', 'etanol', 'ramah', 'lingkungan', 'bantu', 'menekan', 'emisi', 'karbon', 'kendaraan', 'cocok', 'jawabannya', 'panduan', 'lengkap', 'bioetanol', 'energiterbarukan', 'bbmramahlingkungan']","['bbm', 'campur', 'etanol', 'ramah', 'lingkung', 'bantu', 'tekan', 'emisi', 'karbon', 'kendara', 'cocok', 'jawab', 'pandu', 'lengkap', 'bioetanol', 'energiterbarukan', 'bbmramahlingkungan']"
Thu Dec 25 00:33:27 +0000 2025,1546367122489556993,@radio1681fm KAK REQ BAHLIL X ETANOL ,KAK REQ BAHLIL X ETANOL,kak req bahlil x etanol,kak req bahlil x etanol,"['kak', 'req', 'bahlil', 'x', 'etanol']","['kak', 'req', 'bahlil', 'etanol']","['kak', 'req', 'bahlil', 'etanol']"
Wed Dec 24 23:39:50 +0000 2025,1496846304697528323, Tahukah kamu perbedaan bahan bakar E5 E10 dan E20? E5 = 5% etanol E10 = 10% etanol E20 = 20% etanol. Setiap jenis punya dampak berbeda ke mesin &amp; konsumsi BBM. Baca panduan lengkapnya di sini: https://t.co/yMuKNg5MGa #E5 #E10 #E20 #BahanBakar #BBM #Otomotif,Tahukah kamu perbedaan bahan bakar E E dan E E etanol E etanol E etanol Setiap jenis punya dampak berbeda ke mesin konsumsi BBM Baca panduan lengkapnya di sini E E E BahanBakar BBM Otomotif,tahukah kamu perbedaan bahan bakar e e dan e e etanol e etanol e etanol setiap jenis punya dampak berbeda ke mesin konsumsi bbm baca panduan lengkapnya di sini e e e bahanbakar bbm otomotif,tahukah kamu perbedaan bahan bakar e e dan e e etanol e etanol e etanol setiap jenis punya dampak berbeda ke mesin konsumsi bbm baca panduan lengkapnya di sini e e e bahanbakar bbm otomotif,"['tahukah', 'kamu', 'perbedaan', 'bahan', 'bakar', 'e', 'e', 'dan', 'e', 'e', 'etanol', 'e', 'etanol', 'e', 'etanol', 'setiap', 'jenis', 'punya', 'dampak', 'berbeda', 'ke', 'mesin', 'konsumsi', 'bbm', 'baca', 'panduan', 'lengkapnya', 'di', 'sini', 'e', 'e', 'e', 'bahanbakar', 'bbm', 'otomotif']","['tahukah', 'perbedaan', 'bahan', 'bakar', 'etanol', 'etanol', 'etanol', 'jenis', 'dampak', 'berbeda', 'mesin', 'konsumsi', 'bbm', 'baca', 'panduan', 'lengkapnya', 'bahanbakar', 'bbm', 'otomotif']","['tahu', 'beda', 'bahan', 'bakar', 'etanol', 'etanol', 'etanol', 'jenis', 'dampak', 'beda', 'mesin', 'konsumsi', 'bbm', 'baca', 'pandu', 'lengkap', 'bahanbakar', 'bbm', 'otomotif']"
Wed Dec 24 23:12:37 +0000 2025,980826787469959168,konteks nya itu aku lagi tanya tentang DPPH ya ges. apakah boleh disimpan terus ibunya menyarankan di freezer aja nyimpennya setelah dilarutin lalu aku bertanya... ga beku po bu yo ga bakal beku maksudnya adalah titik beku etanol murni kan di bawah -114°C XD,konteks nya itu aku lagi tanya tentang DPPH ya ges apakah boleh disimpan terus ibunya menyarankan di freezer aja nyimpennya setelah dilarutin lalu aku bertanya ga beku po bu yo ga bakal beku maksudnya adalah titik beku etanol murni kan di bawah C XD,konteks nya itu aku lagi tanya tentang dpph ya ges apakah boleh disimpan terus ibunya menyarankan di freezer aja nyimpennya setelah dilarutin lalu aku bertanya ga beku po bu yo ga bakal beku maksudnya adalah titik beku etanol murni kan di bawah c xd,konteks nya itu aku lagi tanya tentang dpph ya ges apakah boleh disimpan terus ibunya menyarankan di freezer aja nyimpennya setelah dilarutin lalu aku bertanya tidak beku po bu yo tidak bakal beku maksudnya adalah titik beku etanol murni kan di bawah c xd,"['konteks', 'nya', 'itu', 'aku', 'lagi', 'tanya', 'tentang', 'dpph', 'ya', 'ges', 'apakah', 'boleh', 'disimpan', 'terus', 'ibunya', 'menyarankan', 'di', 'freezer', 'aja', 'nyimpennya', 'setelah', 'dilarutin', 'lalu', 'aku', 'bertanya', 'tidak', 'beku', 'po', 'bu', 'yo', 'tidak', 'bakal', 'beku', 'maksudnya', 'adalah', 'titik', 'beku', 'etanol', 'murni', 'kan', 'di', 'bawah', 'c', 'xd']","['konteks', 'nya', 'dpph', 'ges', 'disimpan', 'ibunya', 'menyarankan', 'freezer', 'aja', 'nyimpennya', 'dilarutin', 'beku', 'beku', 'maksudnya', 'titik', 'beku', 'etanol', 'murni']","['konteks', 'nya', 'dpph', 'ges', 'simpan', 'ibu', 'saran', 'freezer', 'aja', 'nyimpennya', 'dilarutin', 'beku', 'beku', 'maksud', 'titik', 'beku', 'etanol', 'murni']"
Wed Dec 24 22:02:00 +0000 2025,1496846304697528323,Masa depan energi Indonesia tak bisa hanya bergantung pada minyak fosil. Etanol bisa jadi bagian solusi Baca analisis ekonomi &amp; lingkungannya di sini https://t.co/XTbp6V23j9 #EnergiIndonesia #Etanol #SustainableEnergy,Masa depan energi Indonesia tak bisa hanya bergantung pada minyak fosil Etanol bisa jadi bagian solusi Baca analisis ekonomi lingkungannya di sini EnergiIndonesia Etanol SustainableEnergy,masa depan energi indonesia tak bisa hanya bergantung pada minyak fosil etanol bisa jadi bagian solusi baca analisis ekonomi lingkungannya di sini energiindonesia etanol sustainableenergy,masa depan energi indonesia tak bisa hanya bergantung pada minyak fosil etanol bisa jadi bagian solusi baca analisis ekonomi lingkungannya di sini energiindonesia etanol sustainableenergy,"['masa', 'depan', 'energi', 'indonesia', 'tak', 'bisa', 'hanya', 'bergantung', 'pada', 'minyak', 'fosil', 'etanol', 'bisa', 'jadi', 'bagian', 'solusi', 'baca', 'analisis', 'ekonomi', 'lingkungannya', 'di', 'sini', 'energiindonesia', 'etanol', 'sustainableenergy']","['energi', 'indonesia', 'bergantung', 'minyak', 'fosil', 'etanol', 'solusi', 'baca', 'analisis', 'ekonomi', 'lingkungannya', 'energiindonesia', 'etanol', 'sustainableenergy']","['energi', 'indonesia', 'gantung', 'minyak', 'fosil', 'etanol', 'solusi', 'baca', 'analisis', 'ekonomi', 'lingkung', 'energiindonesia', 'etanol', 'sustainableenergy']"
Wed Dec 24 21:01:00 +0000 2025,1496846304697528323,Etanol di BBM bukan tanpa tantangan ️ Mulai dari bahan baku lingkungan hingga mesin kendaraan. Bahasannya lengkap &amp; seimbang di sini https://t.co/XTbp6V2B8H #Biofuel #EnergiNasional #BBM,Etanol di BBM bukan tanpa tantangan Mulai dari bahan baku lingkungan hingga mesin kendaraan Bahasannya lengkap seimbang di sini Biofuel EnergiNasional BBM,etanol di bbm bukan tanpa tantangan mulai dari bahan baku lingkungan hingga mesin kendaraan bahasannya lengkap seimbang di sini biofuel energinasional bbm,etanol di bbm bukan tanpa tantangan mulai dari bahan baku lingkungan hingga mesin kendaraan bahasannya lengkap seimbang di sini biofuel energinasional bbm,"['etanol', 'di', 'bbm', 'bukan', 'tanpa', 'tantangan', 'mulai', 'dari', 'bahan', 'baku', 'lingkungan', 'hingga', 'mesin', 'kendaraan', 'bahasannya', 'lengkap', 'seimbang', 'di', 'sini', 'biofuel', 'energinasional', 'bbm']","['etanol', 'bbm', 'tantangan', 'bahan', 'baku', 'lingkungan', 'mesin', 'kendaraan', 'bahasannya', 'lengkap', 'seimbang', 'biofuel', 'energinasional', 'bbm']","['etanol', 'bbm', 'tantang', 'bahan', 'baku', 'lingkung', 'mesin', 'kendara', 'bahas', 'lengkap', 'imbang', 'biofuel', 'energinasional', 'bbm']"
Wed Dec 24 20:36:18 +0000 2025,1908153269601685504,@txtdrjkt Santa kesiram etanol,Santa kesiram etanol,santa kesiram etanol,santa kesiram etanol,"['santa', 'kesiram', 'etanol']","['santa', 'kesiram', 'etanol']","['santa', 'siram', 'etanol']"
Wed Dec 24 19:01:00 +0000 2025,1496846304697528323,Campuran E5 E10 hingga E20 di BBM mulai jadi perhatian global Apa manfaat &amp; tantangannya? Artikel lengkap &amp; mudah dipahami https://t.co/XTbp6V23j9 #E10 #E20 #Etanol #EnergiBerkelanjutan,Campuran E E hingga E di BBM mulai jadi perhatian global Apa manfaat tantangannya Artikel lengkap mudah dipahami E E Etanol EnergiBerkelanjutan,campuran e e hingga e di bbm mulai jadi perhatian global apa manfaat tantangannya artikel lengkap mudah dipahami e e etanol energiberkelanjutan,campuran e e hingga e di bbm mulai jadi perhatian global apa manfaat tantangannya artikel lengkap mudah dipahami e e etanol energiberkelanjutan,"['campuran', 'e', 'e', 'hingga', 'e', 'di', 'bbm', 'mulai', 'jadi', 'perhatian', 'global', 'apa', 'manfaat', 'tantangannya', 'artikel', 'lengkap', 'mudah', 'dipahami', 'e', 'e', 'etanol', 'energiberkelanjutan']","['campuran', 'bbm', 'perhatian', 'global', 'manfaat', 'tantangannya', 'artikel', 'lengkap', 'mudah', 'dipahami', 'etanol', 'energiberkelanjutan']","['campur', 'bbm', 'perhati', 'global', 'manfaat', 'tantang', 'artikel', 'lengkap', 'mudah', 'paham', 'etanol', 'energiberkelanjutan']"
Wed Dec 24 19:00:00 +0000 2025,1496846304697528323,Etanol = bahan bakar dari tanaman Artinya: energi terbarukan bukan fosil. Kenapa ini penting untuk masa depan Indonesia? Jawabannya ada di sini https://t.co/XTbp6V23j9 #EnergiHijau #Biofuel #TransisiEnergi,Etanol bahan bakar dari tanaman Artinya energi terbarukan bukan fosil Kenapa ini penting untuk masa depan Indonesia Jawabannya ada di sini EnergiHijau Biofuel TransisiEnergi,etanol bahan bakar dari tanaman artinya energi terbarukan bukan fosil kenapa ini penting untuk masa depan indonesia jawabannya ada di sini energihijau biofuel transisienergi,etanol bahan bakar dari tanaman artinya energi terbarukan bukan fosil kenapa ini penting untuk masa depan indonesia jawabannya ada di sini energihijau biofuel transisienergi,"['etanol', 'bahan', 'bakar', 'dari', 'tanaman', 'artinya', 'energi', 'terbarukan', 'bukan', 'fosil', 'kenapa', 'ini', 'penting', 'untuk', 'masa', 'depan', 'indonesia', 'jawabannya', 'ada', 'di', 'sini', 'energihijau', 'biofuel', 'transisienergi']","['etanol', 'bahan', 'bakar', 'tanaman', 'energi', 'terbarukan', 'fosil', 'indonesia', 'jawabannya', 'energihijau', 'biofuel', 'transisienergi']","['etanol', 'bahan', 'bakar', 'tanam', 'energi', 'baru', 'fosil', 'indonesia', 'jawab', 'energihijau', 'biofuel', 'transisienergi']"
Wed Dec 24 18:00:01 +0000 2025,1496846304697528323,Etanol bukan cuma soal kendaraan Tapi juga tentang: Pertanian Industri biofuel ‍ Lapangan kerja Baca analisis lengkapnya https://t.co/XTbp6V2B8H #EkonomiPedesaan #Bioenergi #EnergiTerbarukan,Etanol bukan cuma soal kendaraan Tapi juga tentang Pertanian Industri biofuel Lapangan kerja Baca analisis lengkapnya EkonomiPedesaan Bioenergi EnergiTerbarukan,etanol bukan cuma soal kendaraan tapi juga tentang pertanian industri biofuel lapangan kerja baca analisis lengkapnya ekonomipedesaan bioenergi energiterbarukan,etanol bukan cuma soal kendaraan tapi juga tentang pertanian industri biofuel lapangan kerja baca analisis lengkapnya ekonomipedesaan bioenergi energiterbarukan,"['etanol', 'bukan', 'cuma', 'soal', 'kendaraan', 'tapi', 'juga', 'tentang', 'pertanian', 'industri', 'biofuel', 'lapangan', 'kerja', 'baca', 'analisis', 'lengkapnya', 'ekonomipedesaan', 'bioenergi', 'energiterbarukan']","['etanol', 'kendaraan', 'pertanian', 'industri', 'biofuel', 'lapangan', 'kerja', 'baca', 'analisis', 'lengkapnya', 'ekonomipedesaan', 'bioenergi', 'energiterbarukan']","['etanol', 'kendara', 'tani', 'industri', 'biofuel', 'lapang', 'kerja', 'baca', 'analisis', 'lengkap', 'ekonomipedesaan', 'bioenergi', 'energiterbarukan']"
Wed Dec 24 18:00:01 +0000 2025,1496846304697528323,Polusi udara di kota besar makin parah? BBM campur etanol terbukti bisa menekan emisi berbahaya dari kendaraan. Simak datanya di sini https://t.co/XTbp6V2B8H #PolusiUdara #BBMRamahLingkungan #Etanol,Polusi udara di kota besar makin parah BBM campur etanol terbukti bisa menekan emisi berbahaya dari kendaraan Simak datanya di sini PolusiUdara BBMRamahLingkungan Etanol,polusi udara di kota besar makin parah bbm campur etanol terbukti bisa menekan emisi berbahaya dari kendaraan simak datanya di sini polusiudara bbmramahlingkungan etanol,polusi udara di kota besar makin parah bbm campur etanol terbukti bisa menekan emisi berbahaya dari kendaraan simak datanya di sini polusiudara bbmramahlingkungan etanol,"['polusi', 'udara', 'di', 'kota', 'besar', 'makin', 'parah', 'bbm', 'campur', 'etanol', 'terbukti', 'bisa', 'menekan', 'emisi', 'berbahaya', 'dari', 'kendaraan', 'simak', 'datanya', 'di', 'sini', 'polusiudara', 'bbmramahlingkungan', 'etanol']","['polusi', 'udara', 'kota', 'parah', 'bbm', 'campur', 'etanol', 'terbukti', 'menekan', 'emisi', 'berbahaya', 'kendaraan', 'simak', 'datanya', 'polusiudara', 'bbmramahlingkungan', 'etanol']","['polusi', 'udara', 'kota', 'parah', 'bbm', 'campur', 'etanol', 'bukti', 'tekan', 'emisi', 'bahaya', 'kendara', 'simak', 'data', 'polusiudara', 'bbmramahlingkungan', 'etanol']"
Wed Dec 24 17:10:53 +0000 2025,3290127333,@ruberwine @bdamt___ @biliadr ayah lu bau etanol,ayah lu bau etanol,ayah lu bau etanol,ayah kamu bau etanol,"['ayah', 'kamu', 'bau', 'etanol']","['ayah', 'bau', 'etanol']","['ayah', 'bau', 'etanol']"
Wed Dec 24 17:00:01 +0000 2025,1496846304697528323,Harga BBM naik turun? Campuran etanol bisa jadi solusi jangka panjang untuk kurangi impor minyak &amp; hemat devisa. Penjelasan lengkap https://t.co/XTbp6V23j9 #KetahananEnergi #BBM #Etanol #EkonomiNasional,Harga BBM naik turun Campuran etanol bisa jadi solusi jangka panjang untuk kurangi impor minyak hemat devisa Penjelasan lengkap KetahananEnergi BBM Etanol EkonomiNasional,harga bbm naik turun campuran etanol bisa jadi solusi jangka panjang untuk kurangi impor minyak hemat devisa penjelasan lengkap ketahananenergi bbm etanol ekonominasional,harga bbm naik turun campuran etanol bisa jadi solusi jangka panjang untuk kurangi impor minyak hemat devisa penjelasan lengkap ketahananenergi bbm etanol ekonominasional,"['harga', 'bbm', 'naik', 'turun', 'campuran', 'etanol', 'bisa', 'jadi', 'solusi', 'jangka', 'panjang', 'untuk', 'kurangi', 'impor', 'minyak', 'hemat', 'devisa', 'penjelasan', 'lengkap', 'ketahananenergi', 'bbm', 'etanol', 'ekonominasional']","['harga', 'bbm', 'turun', 'campuran', 'etanol', 'solusi', 'jangka', 'kurangi', 'impor', 'minyak', 'hemat', 'devisa', 'penjelasan', 'lengkap', 'ketahananenergi', 'bbm', 'etanol', 'ekonominasional']","['harga', 'bbm', 'turun', 'campur', 'etanol', 'solusi', 'jangka', 'kurang', 'impor', 'minyak', 'hemat', 'devisa', 'jelas', 'lengkap', 'ketahananenergi', 'bbm', 'etanol', 'ekonominasional']"
Wed Dec 24 15:00:01 +0000 2025,1496846304697528323,Etanol di BBM = Udara lebih bersih Petani lebih sejahtera Ketahanan energi nasional Simak manfaat lengkapnya di sini https://t.co/XTbp6V23j9 #BiofuelIndonesia #EkonomiHijau #EnergiBersih,Etanol di BBM Udara lebih bersih Petani lebih sejahtera Ketahanan energi nasional Simak manfaat lengkapnya di sini BiofuelIndonesia EkonomiHijau EnergiBersih,etanol di bbm udara lebih bersih petani lebih sejahtera ketahanan energi nasional simak manfaat lengkapnya di sini biofuelindonesia ekonomihijau energibersih,etanol di bbm udara lebih bersih petani lebih sejahtera ketahanan energi nasional simak manfaat lengkapnya di sini biofuelindonesia ekonomihijau energibersih,"['etanol', 'di', 'bbm', 'udara', 'lebih', 'bersih', 'petani', 'lebih', 'sejahtera', 'ketahanan', 'energi', 'nasional', 'simak', 'manfaat', 'lengkapnya', 'di', 'sini', 'biofuelindonesia', 'ekonomihijau', 'energibersih']","['etanol', 'bbm', 'udara', 'bersih', 'petani', 'sejahtera', 'ketahanan', 'energi', 'nasional', 'simak', 'manfaat', 'lengkapnya', 'biofuelindonesia', 'ekonomihijau', 'energibersih']","['etanol', 'bbm', 'udara', 'bersih', 'tani', 'sejahtera', 'tahan', 'energi', 'nasional', 'simak', 'manfaat', 'lengkap', 'biofuelindonesia', 'ekonomihijau', 'energibersih']"
Wed Dec 24 14:30:16 +0000 2025,1399086277014654977,Pesona cowok dengan 70% etanol,Pesona cowok dengan etanol,pesona cowok dengan etanol,pesona cowok dengan etanol,"['pesona', 'cowok', 'dengan', 'etanol']","['pesona', 'cowok', 'etanol']","['pesona', 'cowok', 'etanol']"
Wed Dec 24 14:00:02 +0000 2025,1496846304697528323,Tahukah kamu? BBM campur etanol bisa mengurangi emisi gas rumah kaca hingga 50% dibanding bensin murni Ini penjelasan lengkapnya https://t.co/XTbp6V2B8H #Lingkungan #EmisiKarbon #EnergiHijau #Etanol,Tahukah kamu BBM campur etanol bisa mengurangi emisi gas rumah kaca hingga dibanding bensin murni Ini penjelasan lengkapnya Lingkungan EmisiKarbon EnergiHijau Etanol,tahukah kamu bbm campur etanol bisa mengurangi emisi gas rumah kaca hingga dibanding bensin murni ini penjelasan lengkapnya lingkungan emisikarbon energihijau etanol,tahukah kamu bbm campur etanol bisa mengurangi emisi gas rumah kaca hingga dibanding bensin murni ini penjelasan lengkapnya lingkungan emisikarbon energihijau etanol,"['tahukah', 'kamu', 'bbm', 'campur', 'etanol', 'bisa', 'mengurangi', 'emisi', 'gas', 'rumah', 'kaca', 'hingga', 'dibanding', 'bensin', 'murni', 'ini', 'penjelasan', 'lengkapnya', 'lingkungan', 'emisikarbon', 'energihijau', 'etanol']","['tahukah', 'bbm', 'campur', 'etanol', 'mengurangi', 'emisi', 'gas', 'rumah', 'kaca', 'dibanding', 'bensin', 'murni', 'penjelasan', 'lengkapnya', 'lingkungan', 'emisikarbon', 'energihijau', 'etanol']","['tahu', 'bbm', 'campur', 'etanol', 'kurang', 'emisi', 'gas', 'rumah', 'kaca', 'banding', 'bensin', 'murni', 'jelas', 'lengkap', 'lingkung', 'emisikarbon', 'energihijau', 'etanol']"
Wed Dec 24 13:57:15 +0000 2025,793245540938944512,@dibaanting cuma mau kasih tau kalau udah malem doang bang abang kok ngegas banget kek baru ngisi etanol aja,cuma mau kasih tau kalau udah malem doang bang abang kok ngegas banget kek baru ngisi etanol aja,cuma mau kasih tau kalau udah malem doang bang abang kok ngegas banget kek baru ngisi etanol aja,cuma mau kasih tau kalau udah malem doang bang abang ngegas sangat kek baru ngisi etanol aja,"['cuma', 'mau', 'kasih', 'tau', 'kalau', 'udah', 'malem', 'doang', 'bang', 'abang', 'ngegas', 'sangat', 'kek', 'baru', 'ngisi', 'etanol', 'aja']","['kasih', 'tau', 'udah', 'malem', 'doang', 'bang', 'abang', 'ngegas', 'kek', 'ngisi', 'etanol', 'aja']","['kasih', 'tau', 'udah', 'malem', 'doang', 'bang', 'abang', 'ngegas', 'kek', 'ngisi', 'etanol', 'aja']"
